Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,,Abdelhadi Azarkan,D (C),Reims,,France (Ligue 1 Uber Eats),-,£15 p/w,30/6/2030,FRA,,-,189 cm,85 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Muammer Birinci,M/AM (C),LOSC,,France (Ligue 1 Uber Eats),-,£80 p/w,30/6/2030,FRA,TUR,-,180 cm,70 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Michele Francioni,GK,Empoli,,Italy (Serie A),-,£220 p/w,30/6/2031,SMR,ITA,-,191 cm,76 kg,Either,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Inj,Kalil Yarangoyé,"M (R), AM (RL)",RC Lens,,France (Ligue 1 Uber Eats),-,£80 p/w,30/6/2030,MLI,FRA,-,191 cm,81 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Adán,D/WB/M/AM (L),Getafe,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,,-,176 cm,69 kg,Left,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Ismael Rodríguez,"D (LC), WB (L)",R. Madrid,,Spain (First Division),-,£55 p/w,30/6/2031,ESP,,-,160 cm,64 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Jaden Newton,D/WB (L),Nottm Forest,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,,-,176 cm,69 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Cédric Maurer,D (LC),OM,,France (Ligue 1 Uber Eats),-,"£2,700 p/w",30/6/2032,FRA,,-,179 cm,72 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Renaldo Sargeant,"WB (L), M (C)",Aston Villa,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,BRB,-,182 cm,71 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Jordi,GK,Espanyol,,Spain (First Division),-,"£1,500 p/w",30/6/2031,ESP,,-,181 cm,71 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Piero Sangalli,DM,Genoa,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (0-21),179 cm,69 kg,Right Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Nacerdine Levy,"AM (RLC), ST (C)",Reims,,France (Ligue 1 Uber Eats),-,£80 p/w,30/6/2030,FRA,,-,180 cm,69 kg,Left Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Michele Mugnai,D (C),Atalanta,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained at club (15-21),179 cm,71 kg,Right,17,Balanced,Level-headed,£12K - £130K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Aitor Peña,"D (LC), DM",Eibar,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,BAS,-,193 cm,84 kg,Left Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Felipe Montoya,"AM (L), ST (C)",Getafe,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,,-,183 cm,74 kg,Left Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Andrés Fajardo,M/AM (L),Elche,,Spain (First Division),-,£55 p/w,30/6/2031,ESP,,-,178 cm,64 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Lee Hildreth,D (RL),Wolves,,England (Premier Division),-,£150 p/w,30/6/2029,ENG,IRL,-,179 cm,70 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Mattia Previtali,WB (RL),Napoli,,Italy (Serie A),-,£220 p/w,30/6/2030,ITA,,Trained in nation (15-21),172 cm,68 kg,Right Only,19,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Terry McCarron,"AM (RC), ST (C)",Brighton,,England (Premier Division),-,£150 p/w,30/6/2029,IRL,ENG,-,181 cm,70 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Matthew Williams,"AM (RL), ST (C)",Everton,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,,-,183 cm,72 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Carlos Cabral,D (C),OL,,France (Ligue 1 Uber Eats),-,£80 p/w,30/6/2030,FRA,POR,-,195 cm,77 kg,Left Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Ermes Pezzi,D/WB (L),Fiorentina,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (0-21),179 cm,65 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Álvaro Pascual,"M (C), AM (LC)",Eibar,,Spain (First Division),-,£55 p/w,30/6/2031,ESP,BAS,-,174 cm,69 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Antonello Pistone,ST (C),Benevento,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (15-21),173 cm,64 kg,Right,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Benjamín,AM (RC),Almería,,Spain (First Division),-,£55 p/w,30/6/2032,ESP,,-,175 cm,60 kg,Right,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Damián Rochina,ST (C),Valencia,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,,-,179 cm,71 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Inj,Glenn Deane,D (RC),West Ham,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,NIR,-,195 cm,78 kg,Right,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Patricio,"DM, M (C)",Real Hispalis,,Spain (First Division),-,£55 p/w,30/6/2032,ESP,,-,175 cm,63 kg,Right,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Abdoul Ndao,D (C),Napoli,,Italy (Serie A),-,£220 p/w,30/6/2032,SEN,ITA,Trained in nation (0-21),178 cm,68 kg,Left Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Redon Demi,"M/AM (C), ST (C)",Leicester,,England (Premier Division),-,£150 p/w,30/6/2030,ALB,ENG,-,180 cm,67 kg,Right,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Francisco Gómez,"AM (RL), ST (C)",Wolves,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,ESP,-,173 cm,63 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Ludmiany Sinien,D (RLC),Brest,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2031,FRA,REU,-,179 cm,71 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Darren Forde,D/M (C),Nottm Forest,,England (Premier Division),-,£150 p/w,30/6/2031,IRL,ENG,-,191 cm,76 kg,Left Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Ludovic Dubois,"D (C), DM",RC Lens,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2031,FRA,,-,171 cm,63 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Christ Mberi,D (R),RC Lens,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2031,FRA,,-,166 cm,60 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Emanuele Botti,D (LC),SPAL,,Italy (Serie A),-,£220 p/w,30/6/2031,ITA,,Trained in nation (15-21),177 cm,69 kg,Left,17,,Scouting Required,£40K - £130K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Antonio Jesús Navarrete,"M (R), AM (C), ST (C)",Sevilla,,Spain (First Division),-,£55 p/w,30/6/2031,ESP,,-,179 cm,67 kg,Either,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Omar Castaldo,M (C),Udinese,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (15-21),164 cm,57 kg,Left Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,José Carlos Alonso,M/AM (C),Levante,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,,-,156 cm,68 kg,Right,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Giuseppe Lancetti,"DM, M (C)",Empoli,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (15-21),174 cm,63 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Paterne Kalala,"M (C), AM (RC)",Brighton,,England (Premier Division),-,£150 p/w,30/6/2029,ENG,COD,-,174 cm,64 kg,Right Only,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Antonio Castagna,D (C),Rennes,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2033,FRA,ITA,-,190 cm,76 kg,Right Only,15,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Savino Di Maio,ST (C),Bologna,,Italy (Serie A),-,£220 p/w,30/6/2032,ITA,,Trained in nation (0-21),181 cm,69 kg,Left,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Inj,Jermaine Rose,D (L),Arsenal,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,,-,181 cm,71 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Vagno Marolany,M (C),AS Monaco,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2032,FRA,,-,168 cm,57 kg,Left,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Alessandro Di Bartolomeo,ST (C),Zebre,,Italy (Serie A),-,£220 p/w,30/6/2031,ITA,,Trained in nation (0-21),175 cm,68 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Jordan Cooke,D (LC),Man City,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,,-,180 cm,67 kg,Left Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Malhory Grandel,M/AM (L),Rennes,,France (Ligue 1 Uber Eats),-,£80 p/w,30/6/2030,FRA,GLP,-,175 cm,65 kg,Left,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Álex Luque,D (C),Espanyol,,Spain (First Division),-,£110 p/w,30/6/2030,ESP,,-,187 cm,76 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Ronnie Linwood,DM,Liverpool,,England (Premier Division),-,£150 p/w,30/6/2031,ENG,,-,173 cm,60 kg,Right Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Jeroni,D/M/AM (R),Levante,,Spain (First Division),-,£55 p/w,30/6/2030,ESP,,-,180 cm,69 kg,Right,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Eric Morel,D (C),OGC Nice,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2031,FRA,,-,186 cm,77 kg,Right Only,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Léo Perrier,"AM (RL), ST (C)",LOSC,,France (Ligue 1 Uber Eats),-,£100 p/w,30/6/2029,FRA,,-,177 cm,71 kg,Left Only,19,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Rees Clarkson,"D (C), WB (R), M/AM (C)",West Brom,,England (Premier Division),-,£150 p/w,30/6/2030,ENG,,-,174 cm,61 kg,Right Only,16,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
