,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
Yth,Arthur Autret,GK,ASSE,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2027,FRA,,-,197 cm,78 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Romain Mercier,D (L),ASSE,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2027,FRA,,-,175 cm,65 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Romaine Luce,AM (R),ASSE,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2028,FRA,GLP,-,176 cm,62 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Nakibou Houmadi,D (R),ASSE,,France (Ligue 1 Uber Eats),-,"£1,100 p/w",30/6/2026,COM,FRA,-,168 cm,57 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Murphy Ndongala,M (C),ASSE,,France (Ligue 1 Uber Eats),-,"£1,600 p/w",30/6/2027,COD,FRA,-,175 cm,62 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Thomas Bernardini,GK,ASSE,,France (Ligue 1 Uber Eats),-,"£1,300 p/w",30/6/2027,FRA,,-,183 cm,67 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,James Simpson,D (R),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,ENG,,-,182 cm,70 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Inj,Patrick Okyere,M (C),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,GHA,GER,-,174 cm,63 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Kieran Buckley,M (RL),Man UFC,,England (Premier Division),-,"£8,000 p/w",30/6/2027,SCO,,-,182 cm,71 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Lucas Langeveld,DM,Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,NED,ENG,-,174 cm,63 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Gregory Greer,D (C),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,WAL,NIR,-,187 cm,72 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Tobias Doebel,AM (C),SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,175 cm,64 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Mirko Mauro,D (C),SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,ITA,-,194 cm,76 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Jörg Schröder,DM,SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,172 cm,61 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Inj,Dario Chandler,ST (C),Man UFC,,England (Premier Division),-,"£7,500 p/w",30/6/2027,BRB,ENG,-,179 cm,66 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Giannis Giannopoulos,D (R),SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,GRE,-,165 cm,55 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Christian Peter,D (L),SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,175 cm,62 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Chris Reiß,M (R),SC Freiburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,181 cm,64 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Nathan Roberts,DM,Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,WAL,NIR,-,185 cm,73 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Sully McQuade,AM (L),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,ENG,NIR,-,174 cm,60 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Daniel Matos,M (L),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,POR,ENG,-,176 cm,64 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Luka Filipović,D (C),Man UFC,,England (Premier Division),-,£220 p/w,30/6/2026,CRO,SVN,-,181 cm,70 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Mark Andrews-Moore,WB (R),Man City,,England (Premier Division),-,£220 p/w,30/6/2026,WAL,,-,192 cm,76 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Adam Curtis-Noonan,AM (L),Man City,,England (Premier Division),-,£220 p/w,30/6/2026,ENG,,-,174 cm,63 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Asier Vélez,D (L),A. Bilbao,,Spain (First Division),-,"£4,000 p/w",30/6/2027,ESP,BAS,-,178 cm,64 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Adriano,WB (L),Man City,,England (Premier Division),-,£220 p/w,30/6/2026,BRA,ENG,-,189 cm,79 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Barney Sinclair-Smith,GK,Man City,,England (Premier Division),-,£220 p/w,30/6/2026,ENG,,-,181 cm,69 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Ben McNamee,AM (R),Man City,,England (Premier Division),-,"£13,000 p/w",30/6/2027,ENG,,-,167 cm,57 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Julen Beldarrain,DM,A. Bilbao,,Spain (First Division),-,£55 p/w,30/6/2028,ESP,BAS,-,171 cm,60 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Carlos Santamaría,ST (C),A. Bilbao,,Spain (First Division),-,"£3,900 p/w",30/6/2027,ESP,BAS,-,174 cm,60 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Pepe,DM,A. Bilbao,,Spain (First Division),-,£55 p/w,30/6/2028,ESP,BAS,-,178 cm,68 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Jagoba Iriondo,DM,A. Bilbao,,Spain (First Division),-,£55 p/w,30/6/2028,ESP,BAS,-,171 cm,63 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,José Romero,ST (C),Man City,,England (Premier Division),-,£220 p/w,30/6/2026,VEN,ENG,-,175 cm,60 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Matt Hughes,AM (C),Man City,,England (Premier Division),-,"£10,000 p/w",30/6/2027,ENG,IRL,-,165 cm,58 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Davide Longo,M (C),Genoa,,Italy (Serie A),-,£220 p/w,30/6/2028,ITA,,Trained in nation (15-21),184 cm,69 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Tillmann Loheider,AM (C),Man City,,England (Premier Division),-,£220 p/w,30/6/2026,GER,ENG,-,174 cm,59 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Rıza Kara,D (C),HSV,,Germany (Bundesliga),-,£55 p/w,30/6/2028,TUR,GER,-,178 cm,67 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Sam Owusu,DM,FC Bayern,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,GHA,-,179 cm,66 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Joan Miquel Bartrina,D (R),Girona,,Spain (First Division),-,"£3,800 p/w",30/6/2027,ESP,,-,184 cm,71 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Enric Planagumá,AM (L),Girona,,Spain (First Division),-,"£4,000 p/w",30/6/2027,ESP,,-,181 cm,62 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Ricard Vilajosana,AM (R),Girona,,Spain (First Division),-,"£4,700 p/w",30/6/2027,ESP,,-,178 cm,66 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jan Castedo,DM,Girona,,Spain (First Division),-,"£4,100 p/w",30/6/2027,ESP,,-,173 cm,62 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Raimon,AM (R),Girona,,Spain (First Division),-,"£3,200 p/w",30/6/2027,ESP,,-,187 cm,68 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Natan,D (C),Real Hispalis,,Spain (First Division),-,"£44,500 p/w",30/6/2029,BRA,,-,188 cm,92 kg,Left,24,,Scouting Required,£31M - £38M,26,26,"2,340",180,6.97,1,0.04,12,2,17%,0.46,0.08,0,0,-,2,1.01,1,0.04,0,-,5,0.19,"1,833",70.5,"1,727",66.42,94%,8,2,25%,3,0.12,10,303.9km,153,5.88,104,4,68%,7,34,1.31,83%,12,5,0,65,2.5,23,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Rodrigo Muniz,ST (C),Fulham,,England (Premier Division),-,"£12,000 p/w",30/6/2026,BRA,,-,185 cm,80 kg,Right,23,,Scouting Required,£5.8M - £8.8M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Matarr Njie,AM (C),Bournemouth,,England (Premier Division),-,£220 p/w,30/6/2026,GAM,ENG,-,162 cm,54 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Shimon Harari,M (C),Leicester,,England (Premier Division),-,£220 p/w,30/6/2026,ISR,ENG,-,168 cm,58 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Ludwig Schneider,GK,FC Bayern,,Germany (Bundesliga),-,£55 p/w,30/6/2026,FRA,GER,-,185 cm,69 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pedro Remeseiro,D (C),Sevilla,,Spain (First Division),-,"£4,600 p/w",30/6/2027,ESP,,-,187 cm,72 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Dean Walters,D (C),Leicester,,England (Premier Division),-,£220 p/w,30/6/2026,IRL,ENG,-,179 cm,68 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Emanuele Pintus,ST (C),Fiorentina,,Italy (Serie A),-,"£1,900 p/w",30/6/2027,ITA,,Trained in nation (15-21),167 cm,59 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Danny Kasongo-Kitenge,D (R),Eintracht Frankfurt,,Germany (Bundesliga),-,"£3,200 p/w",30/6/2027,GER,COD,-,180 cm,67 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jules Langlois,ST (C),RC Lens,,France (Ligue 1 Uber Eats),-,"£2,400 p/w",30/6/2027,FRA,,-,180 cm,64 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Joris Pain,D (C),RC Lens,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2028,FRA,,-,185 cm,69 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Furkan Yalçınkaya,ST (C),VfL Wolfsburg,,Germany (Bundesliga),-,£55 p/w,30/6/2026,TUR,GER,-,185 cm,72 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Alexandre Ato-Zandanga,DM,Havre AC,,France (Ligue 1 Uber Eats),-,"£1,600 p/w",30/6/2027,CTA,FRA,-,182 cm,70 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Hiroshi Tasaka,ST (C),OL,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2027,JPN,,-,168 cm,55 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tony Lee,D (C),Leeds,,England (Premier Division),-,"£2,500 p/w",30/6/2027,ENG,,-,184 cm,69 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Inj,Alekss Saveljevs,D (C),Leeds,,England (Premier Division),-,£220 p/w,30/6/2026,ENG,,-,185 cm,73 kg,Unknown,17,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Franck Cavaré,D (C),OL,,France (Ligue 1 Uber Eats),-,"£5,750 p/w",30/6/2027,FRA,GLP,-,179 cm,66 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Fábio Almeida,D (C),Montpellier,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2028,LUX,POR,-,184 cm,71 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Pierre-louis Giordano,D (C),Montpellier,,France (Ligue 1 Uber Eats),-,£60 p/w,30/6/2027,FRA,,-,185 cm,73 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trn,Marcos Paulo,"AM (LC), ST (C)",Mallorca,A. Madrid,Spain (First Division),-,"£5,250 p/w",30/6/2026,POR,BRA,-,186 cm,80 kg,Right,24,,Scouting Required,£100K - £1M,0 (1),-,10,10,-,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,3,-,3,-,100%,0,0,-,0,-,0,0.3km,1,-,1,-,100%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
